Preprocessing,K-Means - No Preprocessing,K-Means - No Preprocessing,K-Means - No Preprocessing,Hierarchical - No Preprocessing,Hierarchical - No Preprocessing,Hierarchical - No Preprocessing,Birch - No Preprocessing,Birch - No Preprocessing,Birch - No Preprocessing,K-Means - Normalize,K-Means - Normalize,K-Means - Normalize,Hierarchical - Normalize,Hierarchical - Normalize,Hierarchical - Normalize,Birch - Normalize,Birch - Normalize,Birch - Normalize,K-Means - Transform,K-Means - Transform,K-Means - Transform,Hierarchical - Transform,Hierarchical - Transform,Hierarchical - Transform,Birch - Transform,Birch - Transform,Birch - Transform,K-Means - PCA,K-Means - PCA,K-Means - PCA,Hierarchical - PCA,Hierarchical - PCA,Hierarchical - PCA,Birch - PCA,Birch - PCA,Birch - PCA,K-Means - T+N,K-Means - T+N,K-Means - T+N,Hierarchical - T+N,Hierarchical - T+N,Hierarchical - T+N,Birch - T+N,Birch - T+N,Birch - T+N,K-Means - T+N+PCA,K-Means - T+N+PCA,K-Means - T+N+PCA,Hierarchical - T+N+PCA,Hierarchical - T+N+PCA,Hierarchical - T+N+PCA,Birch - T+N+PCA,Birch - T+N+PCA,Birch - T+N+PCA
Clusters,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5
Silhouette,0.471385544,0.414045115,0.369846954,0.451733233,0.371726665,0.339356642,0.400334891,0.362668069,0.357117116,0.441923698,0.335684554,0.292597149,0.425563322,0.352501782,0.307476122,0.347808279,0.28719688,0.266877997,0.441923698,0.335684554,0.287222133,0.425563322,0.352501782,0.307476122,0.347808279,0.28719688,0.266877997,0.437763601,0.335684554,0.282004712,0.425563322,0.352501782,0.307476122,0.347808279,0.28719688,0.266877997,0.441923698,0.335684554,0.297339912,0.425563322,0.352501782,0.307476122,0.347808279,0.28719688,0.266877997,0.441923698,0.334457977,0.298901868,0.425563322,0.352501782,0.307476122,0.347808279,0.28719688,0.266877997
Calinski-Harabasz,370.1834484,323.778755,305.5447873,340.9871967,288.0574049,268.1504845,282.0376459,298.1572721,281.817608,330.9761467,270.4963252,237.9720735,297.9830304,218.4550392,214.4040429,255.2644512,191.9383261,180.3050529,330.9761467,270.4963252,238.8982106,297.9830304,218.4550392,214.4040429,255.2644512,191.9383261,180.3050529,328.079643,270.4963252,235.7951299,297.9830304,218.4550392,214.4040429,255.2644512,191.9383261,180.3050529,330.9761467,270.4963252,226.3612639,297.9830304,218.4550392,214.4040429,255.2644512,191.9383261,180.3050529,330.9761467,268.5626843,244.0508156,297.9830304,218.4550392,214.4040429,255.2644512,191.9383261,180.3050529
Davies-Bouldin,0.756312985,0.820215423,0.87886772,0.783828983,0.891387115,0.863589171,0.861962658,0.919785857,0.877908591,0.778873005,1.06406678,1.106895393,0.846201225,1.553627667,1.473382159,0.964146265,1.050654612,1.195025437,0.778873005,1.06406678,1.128769629,0.846201225,1.553627667,1.473382159,0.964146265,1.050654612,1.195025437,0.784558817,1.06406678,1.163097361,0.846201225,1.553627667,1.473382159,0.964146265,1.050654612,1.195025437,0.778873005,1.06406678,1.336526286,0.846201225,1.553627667,1.473382159,0.964146265,1.050654612,1.195025437,0.778873005,1.078828341,1.078569617,0.846201225,1.553627667,1.473382159,0.964146265,1.050654612,1.195025437
